Question,Answer,Unit,Total - Total,Gender - Male,Gender - Female,Age - 18-24,Age - 25-34,Age - 35-44,Age - 45-54,Age - 55-64,Age - 65+,Region - South,Region - West,Region - Mid West,Region - North East,Election 2016 - Donald Trump (Republican),Election 2016 - Hillary Clinton (Democrat),Election 2016 - Other,Election 2016 - Didn't Vote,Election 2020 - Donald J  Trump (Republican),Election 2020 - Joseph R  Biden (Democrat),Election 2020 - Jo Jorgensen (Libertarian),Election 2020 - Howie Hawkins (Green),Election 2020 - Other (Another Third Party/Write-In),Election 2020 - Don’t Know,Election 2020 - Won't Vote
go_outside,safe,pct,0.677575844,0.705404159,0.650298584,0.521454952,0.534324905,0.59293136,0.602019822,0.52038098,0.565839679,0.637380595,0.682166152,0.707284728,0.725056861,0.798393315,0.6136518,0.675403196,0.5604368,0.808457509,0.633403025,0.620634251,0.386569201,0.447128096,0.550226722,0.520901389
go_outside,safe,ct,1355.151688,698.3501177,656.8015698,122.0204587,190.2196663,192.1097606,191.4423035,172.7664853,246.7060999,487.7083339,325.6511133,294.4680944,247.3241459,607.5341193,488.1304292,63.89469579,195.5924433,598.3992428,543.0038806,28.52424,9.558459296,13.43721913,94.1297299,68.09891588
go_outside,unsafe,pct,0.225689162,0.217091497,0.234116575,0.270025342,0.316443767,0.303320973,0.295745853,0.349548052,0.314645887,0.251651771,0.22703469,0.206818753,0.188598894,0.146369515,0.28822397,0.266149796,0.245135767,0.128105401,0.271654648,0.312125251,0.485210662,0.451719805,0.228944181,0.341073023
go_outside,unsafe,ct,451.3783235,214.9205824,236.4577412,63.18593012,112.653981,98.27599518,94.04718122,116.0499532,137.1856069,192.5578959,108.3813664,86.10609233,64.33296887,111.379282,229.2682758,25.17838288,85.5523828,94.82028901,232.8841551,14.34522113,11.99750613,13.57521043,39.16649812,44.58944359
go_outside,dont_know,pct,0.096734994,0.077504343,0.115584841,0.208519706,0.149231328,0.103747667,0.102234325,0.130070968,0.119514434,0.110967634,0.090799158,0.085896519,0.086344244,0.055237171,0.09812423,0.058447007,0.194427432,0.06343709,0.094942327,0.067240498,0.128220137,0.101152099,0.220829097,0.138025588
go_outside,dont_know,ct,193.4699889,76.7292999,116.740689,48.7936112,53.12635271,33.61424426,32.51051529,43.18356153,52.10829317,84.90977016,43.34552024,35.76181328,29.45288521,42.03249863,78.05309501,5.529221324,67.85517394,46.954486,81.39217839,3.090361333,3.170420611,3.03985129,37.77821478,18.04447649
go_dining_in,safe,pct,0.288809579,0.305906322,0.272051385,0.365512556,0.375823908,0.332931465,0.278344222,0.225394392,0.199728698,0.276344015,0.250195147,0.33908537,0.30944928,0.432093648,0.17197507,0.263316286,0.249601898,0.463168156,0.148489116,0.472714764,0.348984271,0.159826929,0.213403898,0.274079709
go_dining_in,safe,ct,577.6191571,302.8472587,274.7718984,85.5299381,133.7933113,107.8697945,88.51346261,74.83093817,87.08171243,211.4518078,119.4376587,141.1734465,105.5562441,328.7998896,136.7978789,24.91032629,87.11106235,342.8250353,127.2967809,21.72588665,8.629119805,4.803163769,36.50795299,35.8312177
go_dining_in,unsafe,pct,0.616106523,0.608797251,0.623271057,0.523691739,0.521815866,0.566945957,0.660618962,0.664397309,0.709989689,0.612230942,0.695805768,0.55338361,0.589817767,0.496534637,0.735801172,0.647299299,0.595549228,0.460147312,0.766305285,0.434426273,0.522795592,0.778013359,0.605514248,0.572339103
go_dining_in,unsafe,ct,1232.213046,602.7092787,629.5037674,122.5438669,185.7664483,183.6904901,210.0768299,220.5799066,309.5555044,468.4644234,332.1623658,230.3935185,201.1927384,377.8359961,585.294367,61.23600245,207.8466805,340.5890846,656.9383588,19.96615439,12.92684562,23.38107597,103.5880127,74.82351402
go_dining_in,dont_know,pct,0.095083898,0.085296427,0.104677559,0.110795705,0.102360226,0.100122578,0.061036816,0.110208299,0.090281613,0.111425043,0.053999086,0.107531021,0.100732953,0.071371716,0.092223758,0.089384415,0.154848874,0.076684532,0.085205599,0.092858962,0.128220137,0.062159712,0.181081853,0.153581188
go_dining_in,dont_know,ct,190.1677968,84.44346262,105.7243342,25.92619505,36.44024049,32.43971536,19.40970751,36.58915522,39.36278319,85.25976879,25.77797545,44.76903502,34.36101756,54.31001431,73.35955415,8.455971262,54.0422571,56.75989792,73.04507435,4.267781427,3.170420611,1.868041112,30.97847716,20.07810425
go_dining_out,safe,pct,0.401198039,0.426800562,0.376102496,0.415345023,0.438642265,0.454246519,0.400018739,0.345281928,0.367048772,0.366866678,0.368390979,0.460288349,0.452001235,0.518947158,0.314203191,0.373262865,0.350316176,0.564854111,0.294309611,0.407746719,0.342296984,0.291771566,0.329302292,0.303616092
go_dining_out,safe,ct,802.3960775,422.5325568,379.8635207,97.19073544,156.1566464,147.1758722,127.205959,114.6336,160.0332645,280.7175771,175.8617489,191.6346102,154.1821413,394.8907125,249.9334939,35.31152554,122.2603456,418.090337,252.3058064,18.7399668,8.463767372,8.768401045,56.33520617,39.6925928
go_dining_out,unsafe,pct,0.479896612,0.467707368,0.491844484,0.397195158,0.431337542,0.438392336,0.497733425,0.53613174,0.538943368,0.503179839,0.532428515,0.425233956,0.420867824,0.401092393,0.574592717,0.449081339,0.444236884,0.359367788,0.581986881,0.412074145,0.541410235,0.633191871,0.44414648,0.516593566
go_dining_out,unsafe,ct,959.7932239,463.0302946,496.7629293,92.94366704,153.5561649,142.0391168,158.2792293,177.9957376,234.9793084,385.0211367,254.1696594,177.0402042,143.5622236,305.2096123,457.0608114,42.4841276,155.0386727,265.9946993,498.9258381,18.93885456,13.38711848,19.02885994,75.98211167,67.53574187
go_dining_out,dont_know,pct,0.118905349,0.105492069,0.13205302,0.187459818,0.130020193,0.107361145,0.102247836,0.118586333,0.09400786,0.129953483,0.099180506,0.114477695,0.127130941,0.079960448,0.111204091,0.177655796,0.205446939,0.075778101,0.123703508,0.180179136,0.116292781,0.075036563,0.226551227,0.179790342
go_dining_out,dont_know,ct,237.8106985,104.4371486,133.37355,43.86559752,46.28718872,34.78501104,32.51481172,39.37066245,40.98742708,99.43728617,47.34659164,47.66118555,43.36563517,60.84557521,88.4574947,16.80664686,71.70098175,56.08898153,106.0485696,8.281001101,2.875500186,2.255019865,38.75712496,23.5045013
go_public_transport,safe,pct,0.193646634,0.215837637,0.171895058,0.267650584,0.296094548,0.254419385,0.1826864,0.128830767,0.082466519,0.187017741,0.173851128,0.169625028,0.265539187,0.247598217,0.157390632,0.160027864,0.167761477,0.257386029,0.154197663,0.258384475,0.186422847,0.172886921,0.120629328,0.170386439
go_public_transport,safe,ct,387.2932688,213.6792602,173.6140086,62.63023669,105.409659,82.43188087,58.09427528,42.77181463,35.95540241,143.1014871,82.99270391,70.62100564,90.5780722,188.4088478,125.1966614,15.13900403,58.54875557,190.5104513,132.1906059,11.87530459,4.609563292,5.195646315,20.63659507,22.27510242
go_public_transport,unsafe,pct,0.697391596,0.68360222,0.710907916,0.577207831,0.572738427,0.641101369,0.682900107,0.779371137,0.853649966,0.694982705,0.737575427,0.705474372,0.636693282,0.66363598,0.757529067,0.669632236,0.64144844,0.635046412,0.763738063,0.621512909,0.654543561,0.625499528,0.676425101,0.694048692
go_public_transport,unsafe,ct,1394.783193,676.7661974,718.0169952,135.0666325,203.8948799,207.7168435,217.1622339,258.7512175,372.1913852,531.7840866,352.1022823,293.7143781,217.1824456,504.9910777,602.5778596,63.34874964,223.8655057,470.0448545,654.7375298,28.56462294,16.18449678,18.79768747,115.7190473,90.73495378
go_public_transport,dont_know,pct,0.108961769,0.100560144,0.117197026,0.155141585,0.131167026,0.104479246,0.134413493,0.091798096,0.063883515,0.117999553,0.088573445,0.1249006,0.09776753,0.088765804,0.085080302,0.1703399,0.190790082,0.107567559,0.082064274,0.120102617,0.159033591,0.201613551,0.202945571,0.135564869
go_public_transport,dont_know,ct,217.9235385,99.5545424,118.3689961,36.3031308,46.69546109,33.85127561,42.7434908,30.47696787,27.85321237,90.29042627,42.28301381,52.00061624,33.34948222,67.54597443,67.67727901,16.11454633,66.58573877,79.61871202,70.35207837,5.519894938,3.932325966,6.05894706,34.71880041,17.72277977
go_shopping,safe,pct,0.521398818,0.547400427,0.495912093,0.491963086,0.449718902,0.537153496,0.55248612,0.546994367,0.541852973,0.495326233,0.485547355,0.565990363,0.575632792,0.648235987,0.433668665,0.522135095,0.444605785,0.68145377,0.424202734,0.532264098,0.250230556,0.390799251,0.427098806,0.453462899
go_shopping,safe,ct,1042.797636,541.9264224,500.8712139,115.119362,160.0999291,174.0377328,175.6905863,181.6021299,236.2478961,379.0117454,231.7896254,235.6421639,196.3541016,493.2725163,344.9625202,49.39518091,155.1674189,504.3943747,363.660611,24.46276346,6.187297325,11.74440886,73.06569022,59.28249079
go_shopping,unsafe,pct,0.377677503,0.370105499,0.385099566,0.378120752,0.414742712,0.369400014,0.363466338,0.367619336,0.371350515,0.394408315,0.417635259,0.332957473,0.338809067,0.292792559,0.464579608,0.376700972,0.364951989,0.250599672,0.473083643,0.344923281,0.630846084,0.509986944,0.379818098,0.401947946
go_shopping,unsafe,ct,755.3550053,366.4044437,388.9505616,88.48025592,147.6484053,119.6856047,115.5822954,122.0496194,161.9088246,301.7917771,199.3698846,138.6221826,115.571161,222.7992972,369.5506855,35.63677838,127.3682442,185.4873663,405.5652471,15.85261278,15.59854379,15.32627089,64.97716957,52.54779487
go_shopping,dont_know,pct,0.100923679,0.082494075,0.118988341,0.129916163,0.135538387,0.093446489,0.084047542,0.085386297,0.086796512,0.110265452,0.096817386,0.101052163,0.085558141,0.058971455,0.101751727,0.101163933,0.190442226,0.067946558,0.102713622,0.12281262,0.11892336,0.099213804,0.193083096,0.144589155
go_shopping,dont_know,ct,201.8473584,81.66913384,120.1782246,30.40038204,48.25166561,30.27666248,26.72711832,28.34825066,37.8432793,84.37247759,46.21848999,42.07165348,29.18473735,44.87408654,80.93859434,9.570340713,66.46433682,50.2922768,88.05435604,5.644446225,2.940544918,2.981601106,33.03158301,18.90255031
go_barber_salon,safe,pct,0.407082788,0.417872139,0.396507088,0.366822377,0.38664209,0.390255957,0.395064984,0.392976152,0.477391923,0.380062793,0.340458169,0.46048702,0.495752352,0.548232834,0.317661036,0.329300811,0.324221754,0.567436505,0.307211258,0.352960736,0.160742266,0.141567462,0.37820034,0.318560056
go_barber_salon,safe,ct,814.1655763,413.6934173,400.472159,85.83643616,137.6445841,126.4429302,125.6306648,130.4680824,208.1428786,290.8149279,162.5272396,191.717324,169.1060849,417.175527,252.6840431,31.15261407,113.1533922,420.0017579,263.3661332,16.22201277,3.974575328,4.254425124,64.7004125,41.64625953
go_barber_salon,unsafe,pct,0.483669752,0.476743589,0.490458764,0.469561292,0.466764815,0.499199845,0.519083621,0.509189993,0.448241903,0.479155517,0.580199562,0.44747094,0.402885977,0.372624467,0.582457081,0.506101951,0.494548719,0.345444204,0.599358602,0.540090089,0.675305582,0.651224935,0.42853454,0.485187948
go_barber_salon,unsafe,ct,967.339505,471.9761532,495.3633518,109.8773424,166.1682741,161.7407498,165.0685914,169.0510778,195.4334695,366.6383017,276.9745063,186.2982615,137.4284355,283.5470603,463.3165332,47.87840856,172.5975029,255.6888245,513.8182707,24.82244463,16.69786651,19.57079464,73.31130765,63.42999637
go_barber_salon,dont_know,pct,0.109247459,0.105384272,0.113034148,0.163616331,0.146593095,0.110544198,0.085851396,0.097833855,0.074366174,0.14078169,0.07934227,0.09204204,0.101361671,0.079142699,0.099881883,0.164597239,0.181229527,0.087119291,0.09343014,0.106949174,0.163952152,0.207207603,0.19326512,0.196251996
go_barber_salon,dont_know,ct,218.4949187,104.3304295,114.1644892,38.28622148,52.18714179,35.81632,27.30074379,32.48083978,32.42365191,107.7227704,37.87625412,38.32041458,34.5754796,60.2233127,79.45122371,15.57127738,63.24910495,64.48343547,80.0958102,4.915365072,4.053944197,6.22706108,33.06272265,25.65658007
go_friend_handshake,safe,pct,0.280277563,0.292963889,0.267842452,0.391999112,0.34954332,0.360298875,0.257240437,0.223365403,0.164434183,0.262154485,0.260926185,0.287768622,0.338870011,0.397517361,0.178601242,0.251871971,0.264096201,0.408227651,0.179974539,0.372781196,0.309995476,0.171451413,0.229680567,0.266681342
